SR_NO,VOLTAGE,CURRENT,POWER,MODULE_TEMP,AMBIENT_TEMP,IR
499,19.78,0.02,0.43,525,417,1012
500,19.78,0.04,0.82,524,417,1012
501,19.73,-0.02,-0.35,525,417,1012
502,19.75,0.01,0.23,524,417,1012
503,19.78,0.03,0.63,526,417,1013
504,19.78,0,0.04,524,416,1011
505,19.75,0.03,0.62,525,417,1012
506,19.75,0.01,0.23,526,417,1012
507,19.29,0.01,0.23,527,417,1011
508,13.67,0.06,0.84,528,417,1011
509,19.75,0.07,1.41,524,418,1011
510,19.7,0,0.04,525,418,1012
511,19.73,0.02,0.43,526,418,1012
512,19.73,-0.01,-0.16,525,418,1012
513,19.75,0.05,1.02,526,418,1013
514,19.73,0.02,0.43,527,419,1012
515,8.79,0.01,0.1,527,419,1013
516,8.45,0.01,0.1,525,419,1013
517,9.2,0.08,0.75,526,419,1012
518,9.62,0.04,0.4,528,419,1012
519,10.21,0.03,0.32,526,420,1011
520,19.73,0,0.04,528,419,1012
521,19.68,0.04,0.82,527,419,1012
522,11.77,0.07,0.84,527,419,1012
523,11.82,0.07,0.84,528,419,1012
524,12.04,0.06,0.74,528,420,1011
525,12.08,0.01,0.14,528,419,1012
526,19.43,0.03,0.61,527,420,1012
527,19.58,-0.01,-0.15,527,419,1013
528,13.09,0.09,1.19,528,419,1011
529,14.58,0.02,0.32,528,419,1013
530,19.73,0.02,0.43,527,420,1011
531,19.73,0.02,0.43,526,420,1013
532,19.73,0.01,0.23,528,420,1012
533,19.73,0,0.04,528,420,1012
534,19.73,0.01,0.23,527,420,1012
535,19.73,0.08,1.6,527,420,1012
536,9.01,0.07,0.64,526,420,1013
537,7.06,0.04,0.29,527,420,1012
538,8.67,0.02,0.19,527,420,1012
539,9.35,0.01,0.11,526,421,1012
540,8.52,0.03,0.27,527,420,1011
541,19.7,0.03,0.62,526,421,1012
542,19.65,0.06,1.2,527,421,1011
543,19.7,0.03,0.62,528,421,1012
544,19.73,0,0.04,528,420,1011
545,19.73,0.03,0.62,529,420,1011
546,19.73,0.02,0.43,525,421,1012
547,19.73,0.06,1.21,527,420,1013
548,19.73,-0.01,-0.16,527,421,1012
549,19.7,0.01,0.23,529,420,1013
550,19.73,0.03,0.62,529,420,1012
551,19.7,0.01,0.23,526,420,1013
552,19.7,0.03,0.62,527,420,1011
553,19.7,0.05,1.01,527,420,1013
554,19.7,0.03,0.62,527,420,1012
555,19.7,0.04,0.82,528,420,1011
556,19.73,0.02,0.43,530,421,1013
557,19.73,0,0.04,528,420,1012
558,19.73,-0.01,-0.16,529,421,1012
559,19.7,0,0.04,527,420,1012
560,19.73,0.01,0.23,528,420,1011
561,19.68,0.03,0.62,527,421,1011
562,19.68,0.03,0.62,526,421,1013
563,19.68,0.04,0.82,527,421,1011
564,19.7,0.03,0.62,526,421,1012
565,19.65,0.06,1.2,528,421,1012
566,19.68,-0.01,-0.16,528,421,1012
567,19.65,0.04,0.82,527,421,1012
568,19.65,0.02,0.43,527,421,1011
569,19.68,0.04,0.82,526,421,1012
570,19.68,-0.01,-0.16,526,421,1013
571,19.65,0.03,0.62,527,421,1013
572,19.65,0.09,1.79,529,421,1010
573,19.68,0,0.04,529,421,1013
574,19.68,0.02,0.43,528,421,1010
575,19.7,0.02,0.43,527,422,1010
576,19.68,-0.03,-0.54,531,421,1012
577,19.68,0.02,0.43,530,422,1011
578,19.68,0.01,0.23,528,421,1012
579,19.65,0.02,0.43,529,422,1012
580,19.68,0.03,0.62,529,421,1012
581,19.68,0.05,1.01,529,421,1012
582,19.65,0.03,0.62,531,421,1012
583,19.68,0.02,0.43,530,422,1012
584,19.7,0,0.04,529,422,1011
585,19.65,0.05,1.01,530,422,1013
586,19.65,0.04,0.82,530,422,1012
587,19.68,0,0.04,528,422,1011
588,19.68,0.01,0.23,529,422,1013
589,19.65,0.01,0.23,529,422,1013
590,19.65,0,0.04,529,421,1012
591,19.68,0,0.04,530,421,1011
592,19.65,0.01,0.23,529,421,1012
593,19.68,0.06,1.21,529,421,1011
594,19.65,0.03,0.62,529,421,1012
595,19.7,0.05,1.01,530,421,1012
596,19.65,0.01,0.23,529,421,1012
597,19.68,-0.03,-0.54,529,420,1012
598,19.65,0.03,0.62,531,420,1013
599,19.68,0.01,0.23,529,420,1012
600,19.63,-0.04,-0.74,529,420,1011
601,19.65,0.02,0.43,531,420,1013
602,19.63,0.04,0.81,530,420,1012
603,19.63,0.05,1.01,530,420,1012
604,19.65,0.04,0.82,531,419,1013
605,19.65,0.02,0.43,530,419,1012
606,19.63,0.06,1.2,530,419,1012
607,19.65,0.08,1.59,530,419,1012
608,19.65,0.03,0.62,531,419,1011
609,19.65,0.06,1.2,531,419,1012
610,19.65,0.01,0.23,530,419,1012
611,19.65,0.03,0.62,530,419,1011
612,19.68,0,0.04,532,419,1011
613,19.68,0.01,0.23,532,419,1012
614,19.68,0,0.04,532,418,1011
615,19.65,0.03,0.62,530,419,1011
616,19.65,-0.01,-0.16,533,418,1012
617,19.65,0.02,0.43,532,419,1011
618,19.65,0.06,1.2,531,418,1012
619,19.63,0.02,0.43,533,418,1011
620,19.63,0.05,1.01,532,418,1011
621,19.63,0.01,0.23,532,419,1013
622,19.65,0.04,0.82,533,419,1012
623,19.65,0.04,0.82,532,419,1011
624,19.63,0.04,0.81,532,419,1013
625,19.65,0.03,0.62,533,419,1012
626,19.63,0.02,0.43,532,419,1012
627,19.63,0.02,0.43,532,419,1012
628,19.63,0,0.04,530,419,1011
629,19.63,0.03,0.62,532,419,1012
630,19.65,0.03,0.62,531,419,1011
631,19.63,0.02,0.43,532,420,1013
632,19.65,0.03,0.62,532,420,1011
633,19.6,0.02,0.43,533,419,1012
634,19.65,0.02,0.43,529,419,1012
635,19.6,0.04,0.81,531,420,1012
636,19.63,0.04,0.81,532,420,1013
637,19.6,0.05,1.01,531,420,1011
638,19.6,0.04,0.81,532,420,1012
639,19.6,0.02,0.43,532,421,1011
640,19.6,0.03,0.62,533,420,1012
641,19.6,0,0.04,532,420,1013
642,19.6,0.04,0.81,531,420,1011
643,19.63,0.04,0.81,533,420,1013
644,19.63,0.04,0.81,533,421,1012
645,19.6,0.07,1.4,533,421,1013
646,19.63,0.04,0.81,533,421,1012
647,19.6,0.05,1.01,532,421,1011
648,19.6,0.02,0.43,533,421,1010
649,19.63,0.03,0.62,532,421,1012
650,19.6,0.01,0.23,534,421,1012
651,19.6,0.02,0.43,533,421,1012
652,19.58,0.02,0.43,535,421,1011
653,19.6,0.02,0.43,532,420,1013
654,19.6,0.01,0.23,533,420,1013
655,19.58,0.06,1.2,532,420,1013
656,19.6,0.05,1.01,534,419,1013
657,19.6,0.05,1.01,532,419,1012
658,19.6,0.02,0.43,534,419,1012
659,19.58,0.01,0.23,534,419,1012
660,19.58,0.02,0.43,533,419,1012
661,19.56,0.03,0.62,534,419,1013
662,19.6,0.03,0.62,533,419,1011
663,19.6,0.01,0.23,534,419,1004
664,19.58,0.01,0.23,533,419,1004
665,19.6,0.01,0.23,536,419,1005
666,19.58,0.04,0.81,533,420,1003
667,19.53,0,0.04,532,420,1002
668,19.56,0.01,0.23,532,419,1001
669,19.58,0.06,1.2,531,419,1002
670,19.58,0.04,0.81,531,419,1001
